Survived,Pclass,Sex,Age,SibSp,Parch,Fare
0,3,male,29.8,1,0,17.73
1,2,male,20.8,0,0,12.13
1,3,female,39.1,0,0,14.76
0,3,male,35.4,0,0,9.4
1,1,female,36.3,0,0,126.11
0,3,male,22.6,4,0,7.66
0,3,male,1,0,0,15.19
0,3,male,44.5,4,0,7.69
1,1,female,23.2,3,0,106.29
1,3,female,18.1,1,2,25.69
0,3,male,39.1,0,0,6.36
1,3,female,24.4,0,2,25.14
0,3,female,44,1,1,14
1,3,female,38,0,0,6.36
0,3,male,38.9,0,0,10.58
1,1,male,11.3,0,0,36.4
0,3,male,46.1,0,0,17.05
1,3,female,33.2,0,0,19.22
1,2,female,24.7,0,0,12.24
1,3,male,31.6,0,0,12.06
1,3,male,5.7,1,0,21.85
1,3,female,35.2,0,0,32.51
0,3,female,15.8,2,0,12.21
1,1,female,11.4,1,1,220.09
0,3,male,9.1,1,0,12.67
0,3,male,44.7,0,0,10.01
1,1,female,21.2,1,0,147.54
1,3,female,50.4,0,0,11.79
0,3,female,22.5,1,0,11.38
1,3,male,6.7,0,0,11.74
0,3,female,14.6,1,0,23.76
0,2,male,46.4,4,0,45.67
0,1,male,27.6,0,2,58.59
0,2,male,22.3,0,2,18.11
0,3,female,31.9,1,0,11.77
1,1,female,36.5,0,0,80.28
1,2,male,44.8,1,0,15.45
0,2,male,49.3,0,0,41.59
1,3,male,24.8,0,0,11.66
0,3,male,11.8,3,0,9.07
1,2,female,24.1,0,2,12.26
1,2,male,33.2,1,0,15.46
0,3,male,16.7,0,0,34.81
1,3,female,16.8,0,0,8.64
0,1,male,34.3,0,0,37.02
1,3,male,29,0,0,11.17
0,1,male,30.1,1,2,48.85
1,1,male,19.5,0,0,27.33
0,3,male,26.6,0,0,8.9
0,2,male,17.2,0,0,25.71
1,3,female,41.7,1,0,13.02
1,2,female,43.7,0,0,18.82
0,3,male,4.8,1,0,10.93
0,3,female,17.2,0,0,38.67
1,1,male,9.5,0,1,55.79
0,3,male,20.9,1,0,7.99
0,1,male,28.6,0,0,43.14
1,3,male,10.1,0,0,11.12
0,1,male,17.3,0,1,117.63
1,2,female,16.1,0,0,14.61
1,1,female,32.5,1,0,105.3
1,3,female,30.6,0,0,5.21
1,3,male,20,1,0,10.43
0,3,male,32.1,0,0,19.96
1,1,female,22.3,0,1,51.88
0,3,male,26,2,0,13.3
0,1,male,52.3,0,0,39.91
0,3,male,47.8,0,0,18.55
0,1,male,12.2,0,1,28.49
1,1,female,40.9,0,0,149.42
1,1,male,40.7,0,0,39.36
0,3,male,14.2,0,0,25.75
1,3,male,40.8,0,0,9.35
1,1,male,50.5,0,0,108.37
0,3,male,14.5,0,0,8.85
0,3,male,17.3,0,0,28.64
1,3,female,43.4,0,0,6.35
1,2,male,33.4,0,0,13.93
1,2,male,37.1,3,0,23.59
0,3,male,34.3,0,0,5.85
1,1,female,35,1,1,39.18
1,1,female,11.8,0,2,212.09
1,3,female,43.8,0,2,42.5
0,3,male,45.5,0,1,9.72
1,2,male,26.6,0,0,61.35
1,2,female,29.1,0,0,25.74
0,3,male,9,0,0,8.14
0,2,male,36.6,0,0,34.24
0,1,male,37.4,2,0,94.91
1,1,male,28.9,0,0,318.89
0,3,male,44.9,0,0,8.08
0,3,male,25.2,1,0,16.15
1,1,female,37.3,0,0,28.47
1,1,male,15.9,0,2,32.84
0,1,male,29.4,1,0,25.26
0,3,male,27.3,1,0,80.25
1,1,male,32.7,1,2,130.36
1,1,male,24.7,0,0,125.44
1,3,female,27.9,0,0,12.13
1,1,male,40.9,2,0,48.19
1,3,female,23.8,0,0,6.64
1,1,female,8,0,1,46.78
1,1,male,53.3,0,0,55.65
0,2,male,48.3,0,0,38.24
0,3,female,12.3,0,0,12.76
0,3,male,39,0,0,5.81
0,3,male,22.9,0,2,5.18
1,2,female,33.3,0,0,12.16
0,3,male,33.7,1,0,10.28
0,1,male,26.5,0,0,200.89
0,2,male,19.1,0,0,30.29
1,3,female,20.4,0,2,21.19
0,1,male,17.3,0,0,65.82
1,1,male,18.5,0,0,54.18
0,1,male,28.8,0,0,32.46
1,1,female,20,1,1,160.65
0,1,male,38.9,2,0,124.36
0,3,female,49.8,0,1,6.84
0,2,male,21.9,0,0,24.36
1,3,female,32.9,0,1,11.68
0,3,male,36.4,1,0,14.81
0,2,male,36.1,1,0,68.44
1,2,female,30.7,0,0,27.34
1,2,female,39.7,0,0,25.54
0,3,female,36.2,1,2,5.52
0,2,male,13,0,1,11.3
0,3,male,41.4,0,0,7.07
0,2,male,41.7,0,0,10.66
0,3,male,19.4,0,0,18.6
0,2,male,30.2,1,0,35.7
0,2,male,38.9,2,0,12.92
0,3,male,26.9,0,0,23.08
0,3,male,44.2,0,0,6.68
0,1,male,61.6,0,0,48.29
0,3,male,19.1,0,0,7.86
1,3,female,11.1,0,0,9.66
0,3,male,33.8,0,0,7.94
1,3,male,39.4,0,2,11.71
0,2,male,26.6,0,0,20.46
1,1,female,49.3,0,0,305.16
1,2,male,11.6,0,0,11.15
0,3,male,39.1,0,1,6.53
0,3,male,21.5,0,0,5.54
0,2,female,52.9,4,0,29.66
0,1,male,56.6,0,0,28.64
0,3,male,19.4,0,0,23.11
1,3,male,22.3,1,0,12.17
0,3,male,41.3,4,1,12.49
0,1,male,24.5,0,1,78.6
0,2,male,29.1,1,0,13.75
1,1,female,30,0,0,39.32
0,3,male,3.8,0,2,8.84
1,1,male,29.5,0,0,83.51
1,3,female,20.4,0,1,7.36
1,2,female,23,1,0,12.47
0,3,female,49.2,0,2,40.1
0,3,male,12.7,0,0,5.22
0,3,male,40.7,0,2,21.23
0,1,male,25.9,0,0,125.84
1,1,male,25.9,0,0,47.93
0,1,male,40.4,1,2,34.47
0,3,female,34.3,1,0,6.57
1,3,female,37.4,1,0,16.95
0,3,male,42.8,1,0,15.29
1,3,female,25.2,0,1,20.27
1,3,female,21.4,1,2,32.72
0,1,male,15.1,0,0,101.53
0,3,male,18.6,0,1,6.69
1,2,male,69.5,0,0,15.58
0,2,male,46.5,0,0,46.93
0,3,male,11.5,0,0,7.35
0,1,male,11.8,0,0,29.89
1,1,male,36.2,1,0,103.97
0,3,male,37.1,0,2,10.15
1,1,female,37.1,0,0,189.2
0,3,male,26.3,3,0,15.51
0,2,male,28,0,2,11.9
1,2,male,34.1,0,0,69.08
1,2,male,30.9,0,1,15.98
1,2,male,1,0,0,18.23
1,3,female,26.6,0,1,10.15
0,2,male,18.2,0,0,11.05
1,3,female,32.1,0,2,11.86
1,3,female,70,0,0,6.32
1,3,female,34.7,0,0,10.12
0,3,male,25.5,0,0,9.32
1,3,female,42.1,0,0,19.82
0,1,male,36.2,1,0,130.65
1,1,female,35.4,0,0,35.83
0,2,male,37.9,0,0,19.13
0,3,female,57.5,1,0,9.67
0,1,male,14.4,0,0,35.67
0,3,male,36.1,0,0,21.02
0,3,male,17.2,0,0,17.28
1,2,female,37.2,1,0,14.22
0,3,male,17.3,1,0,9.57
0,1,male,24.1,0,0,32.27
0,1,male,25.7,1,0,89.31
0,3,female,42.9,0,0,6.29
1,3,female,42.1,0,1,47.64
0,3,male,12.9,0,0,20.17
0,2,male,30.4,0,0,19.89
1,2,male,20.1,1,0,27.28
0,3,male,12.7,0,0,29.23
1,3,male,26.8,0,0,13.08
0,3,female,25.5,2,0,6.92
0,2,male,62.5,0,0,19.52
1,3,female,35.5,0,0,23.52
1,2,male,11.1,0,0,30.67
0,1,male,22.1,1,0,93.37
0,3,male,43.5,1,0,25.16
1,1,female,57.9,0,0,170.86
1,3,female,8.3,0,2,30.23
1,2,female,4.3,0,0,11.99
